,,,,latency (ns),latency (ms),latency (s),,Max (ms),Mean (ms),Min (ms)
7,13,2.0167E+12,2.0167E+12,162568,162.568,0.162568,,,,
8,13,2.01671E+12,2.01671E+12,194409,194.409,0.194409,,,,
9,13,2.01672E+12,2.01672E+12,167507,167.507,0.167507,,,,
10,13,2.01673E+12,2.01673E+12,159679,159.679,0.159679,,,,
1,14,2.01675E+12,2.01675E+12,229605,229.605,0.229605,,,,
2,14,2.01676E+12,2.01676E+12,161661,161.661,0.161661,,,,
3,14,2.01677E+12,2.01677E+12,183363,183.363,0.183363,,,,
4,14,2.01678E+12,2.01678E+12,169271,169.271,0.169271,,,,
5,14,2.01679E+12,2.01679E+12,149308,149.308,0.149308,,,,
6,14,2.0168E+12,2.0168E+12,188642,188.642,0.188642,,,,
7,14,2.01681E+12,2.01681E+12,144127,144.127,0.144127,,,,
8,14,2.01682E+12,2.01682E+12,197151,197.151,0.197151,,,,
9,14,2.01683E+12,2.01683E+12,166189,166.189,0.166189,,,,
10,14,2.01684E+12,2.01684E+12,161634,161.634,0.161634,,,,
1,15,2.01685E+12,2.01685E+12,157374,157.374,0.157374,,,,
2,15,2.01686E+12,2.01686E+12,187568,187.568,0.187568,,,,
3,15,2.01687E+12,2.01687E+12,177874,177.874,0.177874,,,,
4,15,2.01688E+12,2.01688E+12,186310,186.31,0.18631,,,,
5,15,2.01689E+12,2.01689E+12,177506,177.506,0.177506,,,,
6,15,2.0169E+12,2.0169E+12,166973,166.973,0.166973,,,,
7,15,2.01691E+12,2.01691E+12,124198,124.198,0.124198,,,,
8,15,2.01692E+12,2.01692E+12,191207,191.207,0.191207,,,,
9,15,2.01693E+12,2.01693E+12,149354,149.354,0.149354,,,,
10,15,2.01695E+12,2.01695E+12,162480,162.48,0.16248,,,,
1,16,2.01696E+12,2.01696E+12,154552,154.552,0.154552,,,,
2,16,2.01697E+12,2.01697E+12,169820,169.82,0.16982,,,,
3,16,2.01698E+12,2.01698E+12,196423,196.423,0.196423,,,,
4,16,2.01699E+12,2.01699E+12,175662,175.662,0.175662,,,,
5,16,2.017E+12,2.017E+12,168619,168.619,0.168619,,,,
6,16,2.01701E+12,2.01701E+12,148054,148.054,0.148054,,,,
7,16,2.01702E+12,2.01702E+12,187286,187.286,0.187286,,,,
8,16,2.01703E+12,2.01703E+12,172248,172.248,0.172248,,,,
9,16,2.01704E+12,2.01704E+12,154928,154.928,0.154928,,,,
10,16,2.01705E+12,2.01705E+12,191641,191.641,0.191641,,,,
1,17,2.01706E+12,2.01706E+12,153592,153.592,0.153592,,,,
2,17,2.01707E+12,2.01707E+12,170006,170.006,0.170006,,,,
3,17,2.01708E+12,2.01708E+12,183551,183.551,0.183551,,,,
4,17,2.01709E+12,2.01709E+12,170156,170.156,0.170156,,,,
5,17,2.0171E+12,2.0171E+12,166555,166.555,0.166555,,,,
6,17,2.01711E+12,2.01711E+12,167060,167.06,0.16706,,,,
7,17,2.01712E+12,2.01712E+12,166392,166.392,0.166392,,,,
8,17,2.01713E+12,2.01713E+12,162418,162.418,0.162418,,,,
9,17,2.01714E+12,2.01714E+12,143472,143.472,0.143472,,,,
10,17,2.01715E+12,2.01715E+12,175464,175.464,0.175464,,,,
1,18,2.01716E+12,2.01716E+12,153339,153.339,0.153339,,,,
2,18,2.01717E+12,2.01717E+12,187463,187.463,0.187463,,,,
3,18,2.01718E+12,2.01718E+12,175416,175.416,0.175416,,,,
4,18,2.01719E+12,2.01719E+12,164311,164.311,0.164311,,,,
5,18,2.01721E+12,2.01721E+12,168727,168.727,0.168727,,,,
6,18,2.01722E+12,2.01722E+12,157293,157.293,0.157293,,,,
7,18,2.01723E+12,2.01723E+12,171982,171.982,0.171982,,,,
8,18,2.01724E+12,2.01724E+12,190556,190.556,0.190556,,,,
9,18,2.01725E+12,2.01725E+12,157819,157.819,0.157819,,,,
10,18,2.01726E+12,2.01726E+12,168363,168.363,0.168363,,,,
1,19,2.01727E+12,2.01727E+12,153419,153.419,0.153419,,,,
2,19,2.01728E+12,2.01728E+12,186117,186.117,0.186117,,,,
3,19,2.01729E+12,2.01729E+12,189514,189.514,0.189514,,,,
4,19,2.0173E+12,2.0173E+12,200433,200.433,0.200433,,,,
5,19,2.01731E+12,2.01731E+12,168487,168.487,0.168487,,,,
6,19,2.01732E+12,2.01732E+12,161708,161.708,0.161708,,,,
